,TOTAL_BORN,CAT,Resta_Estat,Estranger,DTE,BARRI,NOM_BARRI,CAT_pct,Resta_Estat_pct,Estranger_pct,NascutsRestaEstat_Votants_ratio,barri_size,Població,Index_RFD,Index_intervals,TOTAL_EDUC,Educ_NO,Educ_primar,Educ_batx_elem,Educ_batx_sup,Educ_univ,No consta,Educ_univ_pct,Educ_primar_pct,Total Aturats,Fins a 6 mesos,De 6 a 12 mesos,Més de 12 mesos,Tot_Atur_pct,Tot_LT_Atur_pct,Electors,Votants,JxSi,Cs,PSC,CUP,ECP,PP,Altres,Blancs,Nuls,JxSi_pct,JxSi_pct_Electors,Cs_pct,Cs_pct_Electors,PSC_pct,PSC_pct_Electors,CUP_pct,CUP_pct_Electors,PP_pct,PP_pct_Electors,ECP_pct,ECP_pct_Electors,Indep,Indep_pct,Indep_pct_Electors,DretD,DretD_pct,DretD_pct_Electors,Union,Union_pct,Union_pct_Electors,Participacio_pct,Effective_Educ_univ_pct
10,37549.0,19755.0,6501.0,11293.0,3,11, el Poble Sec - AEI Parc Montjuïc,52.61,17.31,30.08,24.760054844606945,5.0,40674.0,66.3,1.0,35243.0,1471.0,9895.0,8009.0,7589.0,8273.0,6.0,23.47,28.08,2802.0,1328.0,407.0,1067.0,7.95,3.0300000000000002,24463,16647,5974,2258,1995,2193,2109,1398,556,93,71,35.89,24.42,13.56,9.23,11.98,8.16,13.17,8.96,8.4,5.71,12.67,8.62,8167,49.06,33.38,10276,61.730000000000004,42.0,5651,33.94,23.1,68.04970772186567,33.82
11,792.0,,,,3,12, la Marina del Prat Vermell - AEI Zona Franca,,,,,1.0,1151.0,39.4,1.0,993.0,77.0,458.0,308.0,108.0,42.0,0.0,4.2299999999999995,46.12,151.0,68.0,22.0,61.0,15.21,6.140000000000001,873,478,90,137,110,16,66,38,20,1,0,18.83,10.31,28.66,15.69,23.01,12.6,3.35,1.83,7.95,4.35,13.81,7.56,106,22.18,12.14,172,35.99,19.7,285,59.620000000000005,32.64,54.75372279495991,4.81
12,30667.0,17652.0,7433.0,5583.0,3,13, la Marina de Port,57.56,24.24,18.21,29.6312537372932,5.0,30286.0,72.0,1.0,25807.0,1465.0,8101.0,6879.0,6001.0,3356.0,5.0,13.0,31.39,2097.0,900.0,285.0,912.0,8.129999999999999,3.53,21996,15987,3794,3674,2769,1106,2378,1653,485,76,52,23.73,17.25,22.98,16.7,17.32,12.59,6.92,5.03,10.34,7.52,14.87,10.81,4900,30.65,22.28,7278,45.519999999999996,33.09,8096,50.64,36.81,72.68139661756683,15.26
13,10229.0,5916.0,2245.0,2069.0,3,14, la Font de la Guatlla,57.84,21.95,20.23,27.508883715230976,3.0,10406.0,77.6,2.0,9178.0,406.0,1915.0,2009.0,2324.0,2518.0,6.0,27.439999999999998,20.87,706.0,332.0,102.0,272.0,7.6899999999999995,2.96,7344,5477,1913,995,642,626,607,488,161,32,13,34.93,26.05,18.17,13.55,11.72,8.74,11.43,8.52,8.91,6.64,11.08,8.27,2539,46.36,34.57,3146,57.44,42.84,2125,38.800000000000004,28.93,74.57788671023965,34.29
14,15080.0,9656.0,2917.0,2506.0,3,15, Hostafrancs,64.03,19.34,16.62,23.20050902728068,3.0,15919.0,76.8,2.0,13995.0,530.0,3270.0,3065.0,3345.0,3779.0,6.0,27.0,23.369999999999997,857.0,379.0,121.0,357.0,6.12,2.55,10950,8169,3374,1174,788,1017,842,620,284,37,33,41.3,30.81,14.37,10.72,9.65,7.2,12.45,9.29,7.59,5.66,10.31,7.69,4391,53.75,40.099999999999994,5233,64.06,47.78999999999999,2582,31.61,23.580000000000002,74.6027397260274,34.51
15,19025.0,12092.0,3849.0,3084.0,3,16, la Bordeta,63.56,20.23,16.21,24.145285741170568,3.0,18451.0,76.0,2.0,16172.0,761.0,3812.0,3936.0,4287.0,3361.0,15.0,20.78,23.57,1005.0,445.0,141.0,419.0,6.21,2.59,13983,10840,4287,1593,1308,1261,1116,857,352,35,31,39.55,30.66,14.7,11.39,12.07,9.35,11.63,9.02,7.91,6.13,10.3,7.98,5548,51.18,39.68,6664,61.480000000000004,47.66,3758,34.68,26.869999999999997,77.52270614317386,24.04
16,24288.0,14532.0,5141.0,4615.0,3,17, Sants - Badal,59.83,21.17,19.0,26.13226249173995,4.0,24245.0,79.6,2.0,21297.0,1044.0,5343.0,4896.0,5189.0,4814.0,11.0,22.6,25.09,1127.0,478.0,170.0,479.0,5.29,2.25,17676,13498,5025,2335,1712,1363,1283,1218,477,48,37,37.23,28.43,17.3,13.21,12.68,9.69,10.1,7.71,9.02,6.89,9.51,7.26,6388,47.33,36.14,7671,56.839999999999996,43.4,5265,39.0,29.79,76.36343064041638,27.23
17,44686.0,28204.0,7929.0,8552.0,3,18, Sants,63.12,17.74,19.14,21.943929372042177,5.0,41102.0,85.8,2.0,35988.0,1483.0,7361.0,7397.0,9072.0,10667.0,8.0,29.64,20.45,2093.0,912.0,304.0,877.0,5.82,2.44,29569,22961,10141,3008,2196,2973,2106,1556,805,113,63,44.17,34.3,13.1,10.17,9.56,7.43,12.95,10.05,6.78,5.26,9.17,7.12,13114,57.120000000000005,44.349999999999994,15220,66.29,51.46999999999999,6760,29.439999999999998,22.86,77.65227095945077,36.07
18,46847.0,32792.0,8567.0,5489.0,4,19, les Corts,70.0,18.29,11.72,20.713750332454847,5.0,46205.0,125.4,3.0,40266.0,1225.0,5210.0,6411.0,11196.0,16210.0,14.0,40.26,12.94,2147.0,939.0,317.0,891.0,5.33,2.21,35474,29537,13304,5263,2486,2385,1706,2755,1418,151,69,45.04,37.5,17.82,14.84,8.42,7.01,8.07,6.72,9.33,7.77,5.78,4.81,15689,53.11,44.22,17395,58.89,49.03,10504,35.57,29.619999999999997,83.26379883858601,45.7
19,23100.0,15056.0,5001.0,3043.0,4,20, la Maternitat i Sant Ramon,65.18,21.65,13.17,24.933938275913647,4.0,23735.0,112.6,3.0,20845.0,802.0,3252.0,3625.0,5629.0,7526.0,11.0,36.1,15.6,1114.0,473.0,168.0,473.0,5.34,2.27,18351,15040,5993,3015,1512,1094,1029,1635,653,63,46,39.85,32.66,20.05,16.43,10.05,8.24,7.27,5.96,10.87,8.91,6.84,5.61,7087,47.120000000000005,38.62,8116,53.96000000000001,44.23,6162,40.97,33.58,81.95738651844586,41.01
20,10745.0,7242.0,1422.0,2080.0,4,21, Pedralbes,67.4,13.23,19.36,16.412742382271468,3.0,11670.0,251.7,4.0,9799.0,170.0,737.0,1151.0,2768.0,4970.0,3.0,50.72,7.5200000000000005,259.0,124.0,48.0,87.0,2.64,0.89,8233,6855,2515,1951,275,181,118,1167,609,29,10,36.69,30.55,28.46,23.7,4.01,3.34,2.64,2.2,17.02,14.17,1.72,1.43,2696,39.33,32.75,2814,41.05,34.18,3393,49.49,41.209999999999994,83.26248026235879,60.37
21,2891.0,1985.0,232.0,674.0,5,22," Vallvidrera, el Tibidabo i les Planes",68.66,8.02,23.31,10.464591790708164,1.0,4615.0,162.8,4.0,3675.0,132.0,410.0,570.0,994.0,1567.0,2.0,42.64,11.16,104.0,46.0,18.0,40.0,2.83,1.09,3080,2490,1226,306,182,358,174,123,102,14,5,49.24,39.81,12.29,9.94,7.31,5.91,14.38,11.62,4.94,3.99,6.99,5.65,1584,63.620000000000005,51.43,1758,70.61,57.08,611,24.54,19.84,80.84415584415584,50.88
22,24819.0,18480.0,2888.0,3451.0,5,23, Sarrià,74.46,11.64,13.9,13.515537251965556,4.0,24691.0,195.2,4.0,19899.0,526.0,1755.0,2374.0,5256.0,9985.0,3.0,50.18,8.82,554.0,257.0,102.0,195.0,2.78,0.98,17192,14339,6811,2717,765,942,531,1392,1078,75,28,47.5,39.62,18.95,15.8,5.34,4.45,6.57,5.48,9.71,8.1,3.7,3.09,7753,54.07,45.099999999999994,8284,57.77,48.19,4874,34.0,28.349999999999998,83.4050721265705,58.08
23,15897.0,12278.0,1819.0,1800.0,5,24, les Tres Torres,77.23,11.44,11.32,12.903454635738102,3.0,16381.0,217.8,4.0,13529.0,284.0,840.0,1371.0,4046.0,6988.0,0.0,51.65,6.21,405.0,178.0,72.0,155.0,2.9899999999999998,1.15,11753,10007,3954,2778,407,306,175,1424,914,36,13,39.51,33.64,27.76,23.64,4.07,3.46,3.06,2.6,14.23,12.12,1.75,1.49,4260,42.57,36.24,4435,44.32,37.730000000000004,4609,46.06,39.22,85.14421849740492,59.46
24,25192.0,18856.0,3415.0,2921.0,5,25, Sant Gervasi - la Bonanova,74.85,13.56,11.59,15.333842216335144,4.0,25378.0,191.8,4.0,21204.0,477.0,1681.0,2496.0,6218.0,10320.0,12.0,48.67,7.93,691.0,311.0,104.0,276.0,3.26,1.3,18414,15291,6301,3655,748,727,479,1861,1385,96,39,41.21,34.22,23.9,19.85,4.89,4.06,4.75,3.95,12.17,10.11,3.13,2.6,7028,45.96,38.17,7507,49.09,40.77,6264,40.96,34.02,83.04007820136853,56.04
