TOTAL_BORN,CAT,Resta_Estat,Estranger,DTE,BARRI,NOM_BARRI,CAT_pct,Resta_Estat_pct,Estranger_pct,NascutsRestaEstat_Votants_ratio,barri_size,Població,Index_RFD,Index_intervals,TOTAL_EDUC,Educ_NO,Educ_primar,Educ_batx_elem,Educ_batx_sup,Educ_univ,No consta,Educ_univ_pct,Educ_primar_pct,Total Aturats,Fins a 6 mesos,De 6 a 12 mesos,Més de 12 mesos,Tot_Atur_pct,Tot_LT_Atur_pct
10745.0,7242.0,1422.0,2080.0,4,21, Pedralbes,67.4,13.23,19.36,16.412742382271468,3.0,11670.0,251.7,4.0,9799.0,170.0,737.0,1151.0,2768.0,4970.0,3.0,50.72,7.5200000000000005,227.0,109.0,35.0,83.0,2.32,0.8500000000000001
2891.0,1985.0,232.0,674.0,5,22," Vallvidrera, el Tibidabo i les Planes",68.66,8.02,23.31,10.464591790708164,1.0,4615.0,162.8,4.0,3675.0,132.0,410.0,570.0,994.0,1567.0,2.0,42.64,11.16,93.0,45.0,16.0,32.0,2.53,0.8699999999999999
24819.0,18480.0,2888.0,3451.0,5,23, Sarrià,74.46,11.64,13.9,13.515537251965556,4.0,24691.0,195.2,4.0,19899.0,526.0,1755.0,2374.0,5256.0,9985.0,3.0,50.18,8.82,489.0,235.0,78.0,176.0,2.46,0.88
15897.0,12278.0,1819.0,1800.0,5,24, les Tres Torres,77.23,11.44,11.32,12.903454635738102,3.0,16381.0,217.8,4.0,13529.0,284.0,840.0,1371.0,4046.0,6988.0,0.0,51.65,6.21,362.0,174.0,62.0,126.0,2.68,0.9299999999999999
25192.0,18856.0,3415.0,2921.0,5,25, Sant Gervasi - la Bonanova,74.85,13.56,11.59,15.333842216335144,4.0,25378.0,191.8,4.0,21204.0,477.0,1681.0,2496.0,6218.0,10320.0,12.0,48.67,7.93,606.0,280.0,105.0,221.0,2.86,1.04
43724.0,33279.0,5458.0,4986.0,5,26, Sant Gervasi - Galvany,76.11,12.48,11.4,14.089888220564317,5.0,46648.0,192.1,4.0,39523.0,828.0,2837.0,4439.0,11418.0,19991.0,10.0,50.580000000000005,7.180000000000001,1154.0,549.0,177.0,428.0,2.92,1.08
30327.0,22363.0,3659.0,4305.0,5,27, el Putxet i el Farró,73.74,12.07,14.2,14.061179002382598,5.0,29041.0,140.2,3.0,24752.0,577.0,1902.0,3260.0,7101.0,11906.0,6.0,48.1,7.68,1057.0,512.0,161.0,384.0,4.2700000000000005,1.55
16605.0,11111.0,2676.0,2818.0,6,28, Vallcarca i els Penitents,66.91,16.12,16.97,19.409588743018784,3.0,15454.0,101.6,3.0,13271.0,451.0,1761.0,2347.0,3588.0,5123.0,1.0,38.6,13.270000000000001,685.0,342.0,94.0,249.0,5.16,1.8800000000000001
7697.0,4718.0,1465.0,1514.0,6,29, el Coll,61.3,19.03,19.67,23.693999676532428,2.0,7307.0,81.6,2.0,6274.0,259.0,1153.0,1358.0,1684.0,1816.0,4.0,28.939999999999998,18.38,288.0,146.0,39.0,103.0,4.590000000000001,1.6400000000000001
11909.0,8852.0,1903.0,1155.0,6,30, la Salut,74.33,15.98,9.7,17.694095769409575,3.0,13256.0,107.3,3.0,11523.0,363.0,1559.0,1940.0,3149.0,4506.0,6.0,39.1,13.530000000000001,554.0,275.0,78.0,201.0,4.81,1.7399999999999998
49557.0,33274.0,7276.0,9008.0,6,31, la Vila de Gràcia,67.14,14.68,18.18,17.94327990135635,5.0,50680.0,118.1,3.0,44473.0,1402.0,6356.0,6879.0,10704.0,19126.0,6.0,43.01,14.29,2185.0,1095.0,345.0,745.0,4.91,1.68
34625.0,24452.0,5591.0,4582.0,6,32, el Camp d'en Grassot i Gràcia Nova,70.62,16.15,13.23,18.609992344306495,5.0,34146.0,103.7,3.0,29899.0,918.0,4110.0,5246.0,8131.0,11486.0,8.0,38.42,13.750000000000002,1433.0,693.0,203.0,537.0,4.79,1.7999999999999998
27226.0,18141.0,4710.0,4374.0,7,33, el Baix Guinardó,66.63,17.3,16.07,20.611789418406197,4.0,25587.0,86.6,2.0,22504.0,1017.0,3910.0,4753.0,6219.0,6595.0,10.0,29.310000000000002,17.37,1107.0,528.0,156.0,423.0,4.92,1.8800000000000001
9023.0,5804.0,2195.0,1024.0,7,34, Can Baró,64.32,24.33,11.35,27.440930116264532,2.0,8887.0,77.4,2.0,7813.0,439.0,1709.0,1817.0,1955.0,1892.0,1.0,24.22,21.87,395.0,195.0,56.0,144.0,5.06,1.8399999999999999
35825.0,23789.0,7418.0,4618.0,7,35, el Guinardó,66.4,20.71,12.89,23.77030794373057,5.0,35698.0,82.0,2.0,31350.0,1348.0,5826.0,6816.0,8756.0,8596.0,8.0,27.42,18.58,1800.0,806.0,263.0,731.0,5.74,2.33
9339.0,6547.0,1842.0,950.0,7,36, la Font d'en Fargues,70.1,19.72,10.17,21.95732506854214,2.0,9467.0,102.0,3.0,7998.0,350.0,1300.0,1748.0,2247.0,2342.0,11.0,29.28,16.25,540.0,235.0,78.0,227.0,6.75,2.8400000000000003
30199.0,15239.0,10602.0,4357.0,7,37, el Carmel,50.46,35.11,14.43,41.02782400061918,5.0,31728.0,56.6,1.0,27118.0,2135.0,8145.0,8196.0,5640.0,2987.0,15.0,11.01,30.04,1839.0,804.0,266.0,769.0,6.78,2.8400000000000003
