,TOTAL_BORN,CAT,Resta_Estat,Estranger,DTE,BARRI,NOM_BARRI,CAT_pct,Resta_Estat_pct,Estranger_pct,NascutsRestaEstat_Votants_ratio,barri_size,Població,Index_RFD,Index_intervals,TOTAL_EDUC,Educ_NO,Educ_primar,Educ_batx_elem,Educ_batx_sup,Educ_univ,No consta,Educ_univ_pct,Educ_primar_pct,Total Aturats,Fins a 6 mesos,De 6 a 12 mesos,Més de 12 mesos,Tot_Atur_pct,Tot_LT_Atur_pct,Electors,Votants,ECP,ERC,PP,PSC,CDC,Cs,Altres,Blancs,Nuls,CDC_pct,CDC_pct_Electors,ERC_pct,ERC_pct_Electors,Cs_pct,Cs_pct_Electors,PSC_pct,PSC_pct_Electors,PP_pct,PP_pct_Electors,ECP_pct,ECP_pct_Electors,Indep,Indep_pct,Indep_pct_Electors,DretD,DretD_pct,DretD_pct_Electors,Union,Union_pct,Union_pct_Electors,Indep_pct_delta_26J_27S,Indep_pct_Electors_delta_26J_27S,Indep_pct_delta_26J_20D,Indep_pct_Electors_delta_26J_20D,Union_pct_delta_26J_27S,Union_pct_Electors_delta_26J_27S,Union_pct_delta_26J_20D,Union_pct_Electors_delta_26J_20D,DretD_pct_delta_26J_27S,DretD_pct_Electors_delta_26J_27S,DretD_pct_delta_26J_20D,DretD_pct_Electors_delta_26J_20D,ECP_pct_delta_26J_27S,ECP_pct_Electors_delta_26J_27S,ECP_pct_delta_26J_20D,ECP_pct_Electors_delta_26J_20D,Cs_pct_delta_26J_27S,Cs_pct_Electors_delta_26J_27S,Cs_pct_delta_26J_20D,Cs_pct_Electors_delta_26J_20D,PSC_pct_delta_26J_27S,PSC_pct_Electors_delta_26J_27S,PSC_pct_delta_26J_20D,PSC_pct_Electors_delta_26J_20D,PP_pct_delta_26J_27S,PP_pct_Electors_delta_26J_27S,PP_pct_delta_26J_20D,PP_pct_Electors_delta_26J_20D,JxSi_pct_delta_26J_27S,JxSi_pct_Electors_delta_26J_27S,CUP_pct_27S,CUP_pct_Electors_27S,Participacio_pct,Participacio_pct_27S,Participacio_pct_20D,delta_Participacio_26J_27S,delta_Participacio_26J_20D,Effective_Educ_univ_pct
0,43293.0,16300.0,5312.0,21681.0,1,1, el Raval,37.65,12.27,50.08,24.578937627244123,5.0,48471.0,65.9,1.0,41223.0,1323.0,14963.0,8698.0,7209.0,9018.0,12.0,21.88,36.3,3977.0,1946.0,551.0,1480.0,9.65,3.5900000000000003,20380,10741,3605,1526,1565,2007,730,892,275,72,69,6.8,3.58,14.21,7.49,8.3,4.38,18.69,9.85,14.57,7.68,33.56,17.69,2256,21.01,11.07,5861,54.57000000000001,28.76,4464,41.56,21.909999999999997,-20.41,-12.780000000000001,0.5600000000000023,-0.41000000000000014,0.8700000000000045,-1.5200000000000031,0.990000000000002,-0.8700000000000045,0.010000000000005116,-2.66,-0.28999999999999204,-2.039999999999999,20.42,10.120000000000001,-0.8499999999999943,-1.629999999999999,-6.5699999999999985,-4.180000000000001,-1.83,-1.3100000000000005,3.710000000000001,1.2199999999999989,0.26000000000000156,-0.5,3.7300000000000004,1.4399999999999995,2.5600000000000005,0.9399999999999995,-7.559999999999999,-5.379999999999999,12.85,7.4,52.70363101079489,57.59414427429452,56.157897279799,-4.890513263499628,-3.4542662690041084,44.25
1,17570.0,6880.0,3756.0,6934.0,1,2, el Barri Gòtic,39.16,21.38,39.46,35.31402783001128,3.0,15911.0,98.5,2.0,13913.0,392.0,2737.0,2300.0,3228.0,5255.0,1.0,37.769999999999996,19.67,1051.0,512.0,132.0,407.0,7.55,2.93,7829,4459,1600,825,468,575,477,368,89,26,31,10.7,6.09,18.5,10.54,8.25,4.7,12.9,7.34,10.5,5.98,35.88,20.44,1302,29.2,16.63,2902,65.08,37.07,1411,31.65,18.02,-22.290000000000003,-15.830000000000002,0.629999999999999,-0.9200000000000017,0.7799999999999976,-1.4499999999999993,2.6199999999999974,0.19000000000000128,-0.12000000000000455,-4.030000000000001,-0.6700000000000017,-3.3200000000000003,22.17,11.8,-1.2999999999999972,-2.3999999999999986,-4.75,-3.499999999999999,-0.6500000000000004,-0.7699999999999996,2.0600000000000005,0.5,1.5300000000000011,0.35999999999999943,3.4699999999999998,1.5500000000000007,1.7400000000000002,0.6000000000000005,-5.110000000000003,-5.0,17.18,10.83,56.95491122748755,63.042647994907696,61.426936283861124,-6.087736767420147,-4.472025056373575,67.12
2,17950.0,9770.0,2415.0,5764.0,1,3, la Barceloneta,54.43,13.45,32.11,19.819450143619203,3.0,15181.0,84.5,2.0,13634.0,797.0,3568.0,3170.0,2697.0,3399.0,3.0,24.93,26.169999999999998,1223.0,566.0,162.0,495.0,8.97,3.63,8973,4980,1704,913,603,794,383,369,147,44,23,7.69,4.27,18.33,10.17,7.41,4.11,15.94,8.85,12.11,6.72,34.22,18.99,1296,26.02,14.44,3000,60.239999999999995,33.43,1766,35.46,19.68,-23.88,-17.260000000000005,1.2900000000000027,-0.3600000000000012,-0.21999999999999886,-2.9800000000000004,-0.9600000000000009,-2.120000000000001,0.45999999999999375,-4.539999999999999,1.769999999999996,-1.5700000000000003,24.339999999999996,12.719999999999999,0.4799999999999969,-1.2100000000000009,-6.25,-4.569999999999999,-2.379999999999999,-1.75,2.049999999999999,0.02999999999999936,-0.7099999999999991,-1.120000000000001,3.9799999999999986,1.5599999999999996,2.129999999999999,0.75,-11.129999999999999,-9.160000000000002,12.75,8.1,55.49983283182882,63.52450010986597,59.86140138598614,-8.02466727803715,-4.361568554157323,37.88
3,22347.0,10482.0,3757.0,8108.0,1,4," Sant Pere, Santa Caterina i la Ribera",46.91,16.81,36.28,26.385279865159074,4.0,22674.0,92.5,2.0,19995.0,660.0,4245.0,3271.0,4330.0,7482.0,7.0,37.419999999999995,21.23,1691.0,783.0,226.0,682.0,8.459999999999999,3.4099999999999997,11800,7071,2461,1114,867,1056,712,573,204,40,44,10.07,6.03,15.75,9.44,8.1,4.86,14.93,8.95,12.26,7.35,34.8,20.86,1826,25.82,15.469999999999999,4287,60.62,36.33,2496,35.29,21.16,-21.229999999999997,-15.149999999999999,0.4800000000000004,-0.6500000000000021,1.0700000000000003,-1.1199999999999974,1.509999999999998,-0.3299999999999983,-0.46000000000000085,-3.4200000000000017,-0.3500000000000014,-2.450000000000003,20.769999999999996,11.729999999999999,-0.8300000000000054,-1.8000000000000007,-6.280000000000001,-4.499999999999999,-1.4700000000000006,-1.2299999999999995,3.0700000000000003,1.2299999999999995,1.3900000000000006,0.33999999999999986,4.279999999999999,2.1499999999999995,1.5899999999999999,0.5599999999999996,-6.539999999999999,-5.59,14.69,9.56,59.92372881355932,65.08069939475453,63.61026680175616,-5.1569705811952105,-3.6865379881968394,63.41
4,30679.0,19033.0,5497.0,6149.0,2,5, el Fort Pienc,62.04,17.92,20.04,22.409294741133305,5.0,31785.0,104.5,3.0,27716.0,861.0,4257.0,5031.0,7463.0,10099.0,5.0,36.44,15.36,1479.0,616.0,216.0,647.0,5.34,2.33,21714,15214,3653,3074,2053,1802,2476,1650,291,131,84,16.27,11.4,20.21,14.16,10.85,7.6,11.84,8.3,13.49,9.45,24.01,16.82,5550,36.480000000000004,25.560000000000002,9203,60.49000000000001,42.38,5505,36.18,25.349999999999998,-16.389999999999993,-16.43,1.3400000000000034,-0.46999999999999886,2.6599999999999966,-1.2800000000000011,1.8999999999999986,-0.0400000000000027,-1.4899999999999878,-6.839999999999996,0.3400000000000034,-2.1699999999999946,14.900000000000002,9.59,-1.0,-1.6999999999999993,-5.220000000000001,-5.16,-1.4299999999999997,-1.5,2.6899999999999995,1.0300000000000011,1.4900000000000002,0.6400000000000006,5.1899999999999995,2.8499999999999996,1.8399999999999999,0.8199999999999985,-5.099999999999994,-7.460000000000001,11.29,8.97,70.06539559731048,79.42815383210012,74.0632425516359,-9.362758234789638,-3.9978469543254107,46.51
5,52288.0,34131.0,9180.0,8977.0,2,6, la Sagrada Família,65.28,17.56,17.17,21.19553923945418,5.0,51562.0,92.4,2.0,45630.0,1664.0,7559.0,8831.0,11999.0,15568.0,9.0,34.12,16.57,2479.0,1080.0,360.0,1039.0,5.43,2.2800000000000002,36672,25108,6170,5437,3046,3014,4055,2571,463,202,150,16.15,11.06,21.65,14.83,10.24,7.01,12.0,8.22,12.13,8.31,24.57,16.82,9492,37.8,25.89,15662,62.37,42.71,8631,34.370000000000005,23.54,-17.53,-17.47,0.8199999999999932,-1.1000000000000014,2.730000000000004,-1.2600000000000016,1.720000000000006,-0.3000000000000007,-1.5500000000000043,-7.380000000000003,-0.1700000000000088,-2.940000000000005,15.98,10.09,-0.9899999999999984,-1.8399999999999999,-4.33,-4.41,-0.8599999999999994,-1.0999999999999996,2.49,0.7700000000000005,0.8900000000000006,0.11000000000000121,4.570000000000001,2.380000000000001,1.6900000000000013,0.6900000000000004,-6.980000000000004,-9.21,10.55,8.26,68.46640488656196,78.36710369487486,73.00676589986467,-9.900698808312896,-4.540361013302714,42.449999999999996
6,41544.0,26670.0,6171.0,8703.0,2,7, la Dreta de l'Eixample,64.2,14.85,20.95,18.790536219968942,5.0,43749.0,165.3,4.0,37794.0,894.0,3683.0,4822.0,9783.0,18609.0,3.0,49.24,9.74,1669.0,743.0,284.0,642.0,4.42,1.7000000000000002,29597,20839,4257,4038,3141,1812,4707,2274,329,179,102,22.59,15.9,19.38,13.64,10.91,7.68,8.7,6.12,15.07,10.61,20.43,14.38,8745,41.97,29.54,13002,62.4,43.92,7227,34.68,24.41,-14.860000000000007,-16.310000000000002,1.4699999999999989,-0.7600000000000016,4.390000000000001,-0.019999999999999574,2.6700000000000017,0.4599999999999973,-1.5300000000000082,-7.649999999999999,0.3299999999999983,-2.509999999999998,13.33,8.66,-1.1400000000000006,-1.7499999999999982,-3.879999999999999,-4.25,-1.5399999999999991,-1.6400000000000006,1.299999999999999,0.15000000000000036,1.2399999999999993,0.54,6.970000000000001,4.079999999999999,2.9700000000000006,1.5599999999999987,-3.6200000000000045,-7.240000000000002,11.24,9.07,70.4091630908538,80.67175983576213,74.80386545001515,-10.262596744908336,-4.394702359161357,62.870000000000005
7,39387.0,26120.0,5612.0,7655.0,2,8, l'Antiga Esquerra de l'Eixample,66.32,14.25,19.44,17.685617042732886,5.0,41975.0,127.8,3.0,36823.0,960.0,4020.0,5250.0,9884.0,16701.0,8.0,45.35,10.92,1804.0,832.0,294.0,678.0,4.9,1.8399999999999999,29030,20059,4073,3770,3083,1953,4189,2343,344,186,118,20.88,14.43,18.79,12.99,11.68,8.07,9.74,6.73,15.37,10.62,20.31,14.03,7959,39.67,27.42,12032,59.980000000000004,41.45,7379,36.79,25.419999999999998,-15.149999999999999,-15.949999999999996,1.0900000000000034,-0.9499999999999993,4.359999999999999,-0.240000000000002,2.6899999999999977,0.3399999999999963,-1.9399999999999977,-7.529999999999994,-0.03999999999999204,-2.6899999999999977,13.209999999999999,8.419999999999998,-1.1300000000000026,-1.7400000000000002,-4.120000000000001,-4.43,-1.5099999999999998,-1.629999999999999,1.5899999999999999,0.28000000000000025,1.2699999999999996,0.5,6.889999999999999,3.9099999999999993,2.9299999999999997,1.4699999999999989,-5.579999999999998,-8.379999999999995,9.57,7.57,69.09748535997244,79.11123302701961,73.54152367879203,-10.01374766704717,-4.444038318819594,57.53
8,61449.0,38215.0,10452.0,12783.0,2,9, la Nova Esquerra de l'Eixample,62.19,17.01,20.8,21.47656522900528,5.0,57863.0,109.1,3.0,51148.0,1397.0,7154.0,8626.0,13946.0,20005.0,20.0,39.11,13.99,2684.0,1221.0,406.0,1057.0,5.25,2.07,41844,29163,6377,5729,4222,3146,5524,3286,503,223,153,18.94,13.2,19.64,13.69,11.27,7.85,10.79,7.52,14.48,10.09,21.87,15.24,11253,38.58,26.89,17630,60.45,42.13,10654,36.54,25.459999999999997,-15.799999999999997,-16.339999999999996,0.9099999999999966,-0.9499999999999993,3.6699999999999946,-0.6700000000000017,2.1199999999999974,0.029999999999997584,-1.7399999999999949,-7.309999999999995,0.4099999999999966,-2.240000000000002,14.060000000000002,9.030000000000001,-0.5,-1.290000000000001,-4.380000000000001,-4.59,-1.4299999999999997,-1.5300000000000011,2.039999999999999,0.5699999999999994,1.2199999999999989,0.4499999999999993,6.01,3.3499999999999996,2.33,1.1099999999999994,-6.350000000000001,-8.829999999999998,9.45,7.51,69.69457986808145,79.50926961612605,73.88406142125937,-9.8146897480446,-4.189481553177927,47.81
9,37742.0,23719.0,6282.0,7740.0,2,10, Sant Antoni,62.85,16.64,20.51,20.939302023265892,5.0,38369.0,97.8,2.0,33981.0,1227.0,6155.0,6502.0,8729.0,11352.0,16.0,33.410000000000004,18.11,1927.0,896.0,299.0,732.0,5.67,2.15,26564,18033,4837,3896,2144,2054,2993,1550,340,119,100,16.6,11.27,21.6,14.67,8.6,5.83,11.39,7.73,11.89,8.07,26.82,18.21,6889,38.2,25.939999999999998,11726,65.02000000000001,44.15,5748,31.880000000000003,21.630000000000003,-18.209999999999994,-17.540000000000006,0.480000000000004,-1.110000000000003,2.070000000000004,-1.3499999999999979,1.1300000000000026,-0.41999999999999815,-0.6099999999999852,-6.440000000000005,1.0900000000000105,-1.6900000000000048,17.6,11.100000000000001,0.6099999999999994,-0.5799999999999983,-4.1899999999999995,-4.029999999999999,-1.2699999999999996,-1.25,2.0500000000000007,0.5300000000000002,0.7200000000000006,0.08000000000000007,4.210000000000001,2.1500000000000004,1.6799999999999997,0.75,-6.259999999999998,-8.330000000000005,11.95,9.21,67.88510766450835,77.07335329341318,71.71773861638044,-9.188245628904824,-3.8326309518720905,42.730000000000004
