,TOTAL_BORN,CAT,Resta_Estat,Estranger,DTE,BARRI,NOM_BARRI,CAT_pct,Resta_Estat_pct,Estranger_pct,NascutsRestaEstat_Votants_ratio,barri_size,Població,Index_RFD,Index_intervals,TOTAL_EDUC,Educ_NO,Educ_primar,Educ_batx_elem,Educ_batx_sup,Educ_univ,No consta,Educ_univ_pct,Educ_primar_pct,Total Aturats,Fins a 6 mesos,De 6 a 12 mesos,Més de 12 mesos,Tot_Atur_pct,Tot_LT_Atur_pct,Electors,Votants,ECP,ERC,CDC,PSC,Cs,PP,Altres,Blancs,Nuls,ECP_pct,ECP_pct_Electors,ERC_pct,ERC_pct_Electors,CDC_pct,CDC_pct_Electors,Cs_pct,Cs_pct_Electors,PSC_pct,PSC_pct_Electors,PP_pct,PP_pct_Electors,Indep,Indep_pct,Indep_pct_Electors,DretD,DretD_pct,DretD_pct_Electors,Union,Union_pct,Union_pct_Electors,Indep_pct_delta_20D_27S,Indep_pct_Electors_delta_20D_27S,Union_pct_delta_20D_27S,Union_pct_Electors_delta_20D_27S,DretD_pct_delta_20D_27S,DretD_pct_Electors_delta_20D_27S,ECP_pct_delta_20D_27S,ECP_pct_Electors_delta_20D_27S,Cs_pct_delta_20D_27S,Cs_pct_Electors_delta_20D_27S,PSC_pct_delta_20D_27S,PSC_pct_Electors_delta_20D_27S,PP_pct_delta_20D_27S,PP_pct_Electors_delta_20D_27S,JxSi_pct_delta_20D_27S,JxSi_pct_Electors_delta_20D_27S,CUP_pct_27S,CUP_pct_Electors_27S,Participacio_pct,Participacio_pct_27S,delta_Participacio_20D_27S,Effective_Educ_univ_pct
10,37549.0,19755.0,6501.0,11293.0,3,11, el Poble Sec - AEI Parc Montjuïc,52.61,17.31,30.08,24.760054844606945,5.0,40674.0,66.3,1.0,35243.0,1471.0,9895.0,8009.0,7589.0,8273.0,6.0,23.47,28.08,2802.0,1328.0,407.0,1067.0,7.95,3.0300000000000002,24405,15663,5427,2639,1530,2252,1465,1629,533,91,97,34.65,22.24,16.85,10.81,9.77,6.27,9.35,6.0,14.38,9.23,10.4,6.67,4169,26.62,17.08,9596,61.269999999999996,39.31999999999999,5346,34.13,21.9,-22.44,-16.300000000000004,0.19000000000000483,-1.2000000000000028,-0.46000000000000796,-2.680000000000007,21.979999999999997,13.62,-4.210000000000001,-3.2300000000000004,2.4000000000000004,1.0700000000000003,2.0,0.96,-9.27,-7.340000000000003,13.17,8.96,64.17947141979103,68.04970772186567,-3.8702363020746446,33.900000000000006
11,792.0,,,,3,12, la Marina del Prat Vermell - AEI Zona Franca,,,,,1.0,1151.0,39.4,1.0,993.0,77.0,458.0,308.0,108.0,42.0,0.0,4.2299999999999995,46.12,151.0,68.0,22.0,61.0,15.21,6.140000000000001,869,451,159,18,20,113,67,52,21,0,1,35.25,18.3,3.99,2.07,4.43,2.3,14.86,7.71,25.06,13.0,11.53,5.98,38,8.42,4.369999999999999,197,43.67,22.67,232,51.45,26.69,-13.76,-7.770000000000001,-8.170000000000002,-5.949999999999999,7.68,2.9700000000000024,21.439999999999998,10.740000000000002,-13.8,-7.9799999999999995,2.049999999999997,0.40000000000000036,3.579999999999999,1.6300000000000008,-10.409999999999998,-5.940000000000001,3.35,1.83,51.89873417721519,54.75372279495991,-2.8549886177447235,4.83
12,30667.0,17652.0,7433.0,5583.0,3,13, la Marina de Port,57.56,24.24,18.21,29.6312537372932,5.0,30286.0,72.0,1.0,25807.0,1465.0,8101.0,6879.0,6001.0,3356.0,5.0,13.0,31.39,2097.0,900.0,285.0,912.0,8.129999999999999,3.53,22023,15362,5083,1396,850,3092,2224,2100,475,75,67,33.09,23.08,9.09,6.34,5.53,3.86,14.48,10.1,20.13,14.04,13.67,9.54,2246,14.620000000000001,10.2,7329,47.71000000000001,33.28,7416,48.28,33.68,-16.029999999999998,-12.080000000000002,-2.3599999999999994,-3.1300000000000026,2.190000000000012,0.18999999999999773,18.220000000000006,12.269999999999998,-8.5,-6.6,2.8099999999999987,1.4499999999999993,3.33,2.0199999999999996,-9.11,-7.050000000000001,6.92,5.03,69.75434772737593,72.68139661756683,-2.9270488901909033,15.24
13,10229.0,5916.0,2245.0,2069.0,3,14, la Font de la Guatlla,57.84,21.95,20.23,27.508883715230976,3.0,10406.0,77.6,2.0,9178.0,406.0,1915.0,2009.0,2324.0,2518.0,6.0,27.439999999999998,20.87,706.0,332.0,102.0,272.0,7.6899999999999995,2.96,7343,5177,1599,814,581,711,665,597,143,23,44,30.89,21.78,15.72,11.09,11.22,7.91,12.85,9.06,13.73,9.68,11.53,8.13,1395,26.94,19.0,2994,57.83,40.78,1973,38.11,26.87,-19.419999999999998,-15.57,-0.6900000000000048,-2.0599999999999987,0.39000000000000057,-2.0600000000000023,19.810000000000002,13.510000000000002,-5.320000000000002,-4.49,2.01,0.9399999999999995,2.619999999999999,1.490000000000001,-7.989999999999998,-7.050000000000001,11.43,8.52,70.50251940623723,74.57788671023965,-4.075367304002427,34.29
14,15080.0,9656.0,2917.0,2506.0,3,15, Hostafrancs,64.03,19.34,16.62,23.20050902728068,3.0,15919.0,76.8,2.0,13995.0,530.0,3270.0,3065.0,3345.0,3779.0,6.0,27.0,23.369999999999997,857.0,379.0,121.0,357.0,6.12,2.55,10965,7648,2210,1547,1045,924,775,738,322,49,38,28.9,20.16,20.23,14.11,13.66,9.53,10.13,7.07,12.08,8.43,9.65,6.73,2592,33.89,23.64,4802,62.79,43.8,2437,31.86,22.23,-19.86,-16.459999999999994,0.25,-1.3500000000000014,-1.2700000000000031,-3.989999999999995,18.589999999999996,12.469999999999999,-4.239999999999998,-3.6500000000000004,2.4299999999999997,1.2299999999999995,2.0600000000000005,1.0700000000000003,-7.409999999999997,-7.169999999999998,12.45,9.29,69.74920200638395,74.6027397260274,-4.853537719643441,34.46
15,19025.0,12092.0,3849.0,3084.0,3,16, la Bordeta,63.56,20.23,16.21,24.145285741170568,3.0,18451.0,76.0,2.0,16172.0,761.0,3812.0,3936.0,4287.0,3361.0,15.0,20.78,23.57,1005.0,445.0,141.0,419.0,6.21,2.59,13959,10166,2897,1955,1230,1516,1071,1071,334,55,37,28.5,20.75,19.23,14.01,12.1,8.81,10.54,7.67,14.91,10.86,10.54,7.67,3185,31.33,22.82,6082,59.83,43.57,3658,35.989999999999995,26.2,-19.85,-16.86,1.3099999999999952,-0.6699999999999982,-1.6500000000000057,-4.089999999999996,18.2,12.77,-4.16,-3.7200000000000006,2.84,1.5099999999999998,2.629999999999999,1.54,-8.219999999999999,-7.84,11.63,9.02,72.82756644458772,77.52270614317386,-4.695139698586146,24.08
16,24288.0,14532.0,5141.0,4615.0,3,17, Sants - Badal,59.83,21.17,19.0,26.13226249173995,4.0,24245.0,79.6,2.0,21297.0,1044.0,5343.0,4896.0,5189.0,4814.0,11.0,22.6,25.09,1127.0,478.0,170.0,479.0,5.29,2.25,17698,12595,3404,2116,1552,1858,1550,1569,432,54,60,27.03,19.23,16.8,11.96,12.32,8.77,12.31,8.76,14.75,10.5,12.46,8.87,3668,29.12,20.73,7072,56.150000000000006,39.96,4977,39.52,28.13,-18.209999999999997,-15.41,0.5200000000000031,-1.6600000000000001,-0.6899999999999906,-3.4399999999999977,17.520000000000003,11.97,-4.99,-4.450000000000001,2.0700000000000003,0.8100000000000005,3.4400000000000013,1.9799999999999995,-8.109999999999996,-7.699999999999999,10.1,7.71,71.16623347270878,76.36343064041638,-5.1971971677076,27.200000000000003
17,44686.0,28204.0,7929.0,8552.0,3,18, Sants,63.12,17.74,19.14,21.943929372042177,5.0,41102.0,85.8,2.0,35988.0,1483.0,7361.0,7397.0,9072.0,10667.0,8.0,29.64,20.45,2093.0,912.0,304.0,877.0,5.82,2.44,29628,21527,5882,4556,3511,2459,2135,1983,779,116,106,27.32,19.85,21.16,15.38,16.31,11.85,9.92,7.21,11.42,8.3,9.21,6.69,8067,37.47,27.23,13949,64.78999999999999,47.08,6577,30.550000000000004,22.200000000000003,-19.650000000000006,-17.119999999999994,1.1100000000000065,-0.6599999999999966,-1.5000000000000142,-4.3899999999999935,18.15,12.73,-3.1799999999999997,-2.96,1.8599999999999994,0.870000000000001,2.4300000000000006,1.4300000000000006,-6.700000000000003,-7.069999999999997,12.95,10.05,72.6576211691643,77.65227095945077,-4.9946497902864735,36.0
18,46847.0,32792.0,8567.0,5489.0,4,19, les Corts,70.0,18.29,11.72,20.713750332454847,5.0,46205.0,125.4,3.0,40266.0,1225.0,5210.0,6411.0,11196.0,16210.0,14.0,40.26,12.94,2147.0,939.0,317.0,891.0,5.33,2.21,35458,27241,4776,4423,6066,2539,4117,3759,1225,207,129,17.53,13.47,16.24,12.47,22.27,17.11,15.11,11.61,9.32,7.16,13.8,10.6,10489,38.51,29.58,15265,56.04,43.05,10415,38.230000000000004,29.37,-14.600000000000001,-14.64,2.6600000000000037,-0.24999999999999645,-2.8500000000000014,-5.980000000000004,11.75,8.66,-2.710000000000001,-3.2300000000000004,0.9000000000000004,0.15000000000000036,4.470000000000001,2.83,-6.530000000000001,-7.920000000000002,8.07,6.72,76.826104123188,83.26379883858601,-6.43769471539801,45.72
19,23100.0,15056.0,5001.0,3043.0,4,20, la Maternitat i Sant Ramon,65.18,21.65,13.17,24.933938275913647,4.0,23735.0,112.6,3.0,20845.0,802.0,3252.0,3625.0,5629.0,7526.0,11.0,36.1,15.6,1114.0,473.0,168.0,473.0,5.34,2.27,18331,14074,2830,2050,2439,1657,2186,2244,531,77,60,20.11,15.44,14.57,11.18,17.33,13.31,15.53,11.93,11.77,9.04,15.94,12.24,4489,31.9,24.490000000000002,7319,52.01,39.93,6087,43.239999999999995,33.21,-15.220000000000006,-14.129999999999995,2.269999999999996,-0.36999999999999744,-1.95000000000001,-4.299999999999997,13.27,9.829999999999998,-4.520000000000001,-4.5,1.7199999999999989,0.7999999999999989,5.07,3.33,-7.950000000000003,-8.169999999999995,7.27,5.96,76.77704435109924,81.95738651844586,-5.180342167346623,41.06
