TOTAL_BORN,CAT,Resta_Estat,Estranger,DTE,BARRI,NOM_BARRI,CAT_pct,Resta_Estat_pct,Estranger_pct,NascutsRestaEstat_Votants_ratio,barri_size,Població,Index_RFD,Index_intervals,TOTAL_EDUC,Educ_NO,Educ_primar,Educ_batx_elem,Educ_batx_sup,Educ_univ,No consta,Educ_univ_pct,Educ_primar_pct,Total Aturats,Fins a 6 mesos,De 6 a 12 mesos,Més de 12 mesos,Tot_Atur_pct,Tot_LT_Atur_pct,Electors,Votants,Cs,ERC,JxCAT,PSC,CECP,CUP,PP,Altres,Blancs,Nuls,JxCAT_pct,JxCAT_pct_Electors,ERC_pct,ERC_pct_Electors,Cs_pct,Cs_pct_Electors,PSC_pct,PSC_pct_Electors,CUP_pct,CUP_pct_Electors,PP_pct,PP_pct_Electors,CECP_pct,CECP_pct_Electors,Indep,Indep_pct,Indep_pct_Electors,DretD,DretD_pct,DretD_pct_Electors,Union,Union_pct,Union_pct_Electors,Participacio_pct,Effective_Educ_univ_pct
37549.0,19755.0,6501.0,11293.0,3,11, el Poble Sec - AEI Parc Montjuïc,52.61,17.31,30.08,24.760054844606945,5.0,40674.0,66.3,1.0,35243.0,1471.0,9895.0,8009.0,7589.0,8273.0,6.0,23.47,28.08,2492.0,1227.0,364.0,901.0,7.07,2.56,23667.0,17416.0,3481.0,4208.0,2781.0,2374.0,2157.0,1277.0,819.0,195.0,70.0,54.0,15.97,11.75,24.16,17.78,19.99,14.71,13.63,10.03,7.33,5.4,4.7,3.46,12.39,9.11,8266.0,47.46,34.93,10423.0,59.85,44.04,6674.0,38.32,28.200000000000003,73.5876959479444,34.96
792.0,,,,3,12, la Marina del Prat Vermell - AEI Zona Franca,,,,,1.0,1151.0,39.4,1.0,993.0,77.0,458.0,308.0,108.0,42.0,0.0,4.23,46.12,125.0,58.0,19.0,48.0,12.590000000000002,4.83,863.0,561.0,223.0,84.0,41.0,97.0,76.0,7.0,16.0,12.0,4.0,1.0,7.31,4.75,14.97,9.73,39.75,25.84,17.29,11.24,1.25,0.81,2.85,1.85,13.55,8.81,132.0,23.53,15.290000000000001,208.0,37.08,24.1,336.0,59.89,38.93,65.00579374275782,4.87
30667.0,17652.0,7433.0,5583.0,3,13, la Marina de Port,57.56,24.24,18.21,29.6312537372932,5.0,30286.0,72.0,1.0,25807.0,1465.0,8101.0,6879.0,6001.0,3356.0,5.0,13.0,31.39,1844.0,807.0,262.0,775.0,7.15,3.0,21961.0,17311.0,5211.0,3294.0,1812.0,3158.0,1900.0,571.0,955.0,259.0,86.0,65.0,10.47,8.25,19.03,15.0,30.1,23.73,18.24,14.38,3.3,2.6,5.52,4.35,10.98,8.65,5677.0,32.8,25.85,7577.0,43.78,34.5,9324.0,53.86,42.46,78.82610081508128,15.28
10229.0,5916.0,2245.0,2069.0,3,14, la Font de la Guatlla,57.84,21.95,20.23,27.508883715230976,3.0,10406.0,77.6,2.0,9178.0,406.0,1915.0,2009.0,2324.0,2518.0,6.0,27.44,20.87,627.0,306.0,91.0,230.0,6.83,2.51,7277.0,5787.0,1403.0,1309.0,961.0,831.0,561.0,332.0,301.0,56.0,17.0,16.0,16.61,13.21,22.62,17.99,24.24,19.28,14.36,11.42,5.74,4.56,5.2,4.14,9.69,7.71,2602.0,44.970000000000006,35.76,3163.0,54.660000000000004,43.47,2535.0,43.8,34.84,79.52452933901333,34.599999999999994
15080.0,9656.0,2917.0,2506.0,3,15, Hostafrancs,64.03,19.34,16.62,23.200509027280678,3.0,15919.0,76.8,2.0,13995.0,530.0,3270.0,3065.0,3345.0,3779.0,6.0,27.0,23.37,766.0,358.0,108.0,300.0,5.47,2.14,10660.0,8483.0,1649.0,2177.0,1648.0,1057.0,853.0,569.0,383.0,91.0,28.0,28.0,19.43,15.46,25.66,20.42,19.44,15.47,12.46,9.92,6.71,5.34,4.51,3.59,10.06,8.0,4394.0,51.800000000000004,41.22,5247.0,61.86000000000001,49.22,3089.0,36.410000000000004,28.980000000000004,79.57786116322701,35.449999999999996
19025.0,12092.0,3849.0,3084.0,3,16, la Bordeta,63.56,20.23,16.21,24.145285741170568,3.0,18451.0,76.0,2.0,16172.0,761.0,3812.0,3936.0,4287.0,3361.0,15.0,20.78,23.57,899.0,421.0,126.0,352.0,5.56,2.18,13931.0,11560.0,2306.0,2989.0,2029.0,1650.0,1097.0,743.0,554.0,119.0,45.0,28.0,17.55,14.56,25.86,21.46,19.95,16.55,14.27,11.84,6.43,5.33,4.79,3.98,9.49,7.87,5761.0,49.839999999999996,41.35,6858.0,59.33,49.22,4510.0,39.01,32.370000000000005,82.98040341684015,24.13
24288.0,14532.0,5141.0,4615.0,3,17, Sants - Badal,59.83,21.17,19.0,26.13226249173995,4.0,24245.0,79.6,2.0,21297.0,1044.0,5343.0,4896.0,5189.0,4814.0,11.0,22.6,25.09,965.0,428.0,136.0,401.0,4.53,1.88,17346.0,13957.0,3202.0,3330.0,2414.0,2022.0,1268.0,740.0,717.0,164.0,49.0,51.0,17.3,13.92,23.86,19.2,22.94,18.46,14.49,11.66,5.3,4.27,5.14,4.13,9.09,7.31,6484.0,46.459999999999994,37.39,7752.0,55.55,44.7,5941.0,42.57,34.25,80.46235443329874,27.750000000000004
44686.0,28204.0,7929.0,8552.0,3,18, Sants,63.12,17.74,19.14,21.943929372042174,5.0,41102.0,85.8,2.0,35988.0,1483.0,7361.0,7397.0,9072.0,10667.0,8.0,29.64,20.45,1836.0,840.0,259.0,737.0,5.1,2.0500000000000003,29246.0,23953.0,4245.0,6133.0,5289.0,2893.0,2339.0,1857.0,855.0,200.0,83.0,59.0,22.08,18.08,25.6,20.97,17.72,14.51,12.08,9.89,7.75,6.35,3.57,2.92,9.76,8.0,13279.0,55.43,45.4,15618.0,65.19,53.4,7993.0,33.37,27.32,81.90179853655201,36.47
46847.0,32792.0,8567.0,5489.0,4,19, les Corts,70.0,18.29,11.72,20.713750332454847,5.0,46205.0,125.4,3.0,40266.0,1225.0,5210.0,6411.0,11196.0,16210.0,14.0,40.26,12.94,1864.0,840.0,267.0,757.0,4.63,1.88,35036.0,30414.0,7258.0,5989.0,8100.0,3925.0,1957.0,1261.0,1534.0,184.0,131.0,75.0,26.63,23.12,19.69,17.09,23.86,20.72,12.91,11.2,4.15,3.6,5.04,4.38,6.43,5.59,15350.0,50.47,43.81,17307.0,56.9,49.400000000000006,12717.0,41.81,36.3,86.80785477794268,46.27
23100.0,15056.0,5001.0,3043.0,4,20, la Maternitat i Sant Ramon,65.18,21.65,13.17,24.933938275913647,4.0,23735.0,112.6,3.0,20845.0,802.0,3252.0,3625.0,5629.0,7526.0,11.0,36.1,15.6,954.0,423.0,135.0,396.0,4.58,1.9,18178.0,15707.0,4189.0,3097.0,3364.0,2228.0,1134.0,570.0,906.0,115.0,68.0,36.0,21.42,18.51,19.72,17.04,26.67,23.04,14.18,12.26,3.63,3.14,5.77,4.98,7.22,6.24,7031.0,44.77,38.69,8165.0,51.99,44.93,7323.0,46.62,40.28,86.40664539553306,41.4
10745.0,7242.0,1422.0,2080.0,4,21, Pedralbes,67.4,13.23,19.36,16.412742382271468,3.0,11670.0,251.7,4.0,9799.0,170.0,737.0,1151.0,2768.0,4970.0,3.0,50.72,7.52,227.0,109.0,35.0,83.0,2.32,0.8500000000000001,8123.0,6989.0,2884.0,534.0,1789.0,832.0,153.0,86.0,633.0,30.0,39.0,9.0,25.6,22.02,7.64,6.57,41.26,35.5,11.9,10.24,1.23,1.06,9.06,7.79,2.19,1.88,2409.0,34.47,29.65,2562.0,36.66,31.529999999999998,4349.0,62.22,53.53,86.03964052689894,61.18
2891.0,1985.0,232.0,674.0,5,22," Vallvidrera, el Tibidabo i les Planes",68.66,8.02,23.31,10.464591790708164,1.0,4615.0,162.8,4.0,3675.0,132.0,410.0,570.0,994.0,1567.0,2.0,42.64,11.16,93.0,45.0,16.0,32.0,2.53,0.8699999999999999,3069.0,2595.0,433.0,589.0,753.0,293.0,185.0,256.0,48.0,15.0,17.0,6.0,29.02,24.54,22.7,19.19,16.69,14.11,11.29,9.55,9.87,8.34,1.85,1.56,7.13,6.03,1598.0,61.589999999999996,52.07000000000001,1783.0,68.72,58.10000000000001,774.0,29.830000000000002,25.22,84.55522971652005,51.06
24819.0,18480.0,2888.0,3451.0,5,23, Sarrià,74.46,11.64,13.9,13.515537251965554,4.0,24691.0,195.2,4.0,19899.0,526.0,1755.0,2374.0,5256.0,9985.0,3.0,50.18,8.82,489.0,235.0,78.0,176.0,2.46,0.88,17212.0,14897.0,3894.0,2086.0,4758.0,1852.0,746.0,567.0,794.0,77.0,91.0,32.0,31.94,27.64,14.0,12.12,26.14,22.62,12.43,10.76,3.81,3.29,5.33,4.61,5.01,4.33,7411.0,49.75,43.05,8157.0,54.76,47.379999999999995,6540.0,43.9,37.99,86.55008133860098,58.01
15897.0,12278.0,1819.0,1800.0,5,24, les Tres Torres,77.23,11.44,11.32,12.9034546357381,3.0,16381.0,217.8,4.0,13529.0,284.0,840.0,1371.0,4046.0,6988.0,0.0,51.65,6.21,362.0,174.0,62.0,126.0,2.68,0.93,11882.0,9572.0,3561.0,815.0,2670.0,1230.0,277.0,161.0,746.0,46.0,49.0,17.0,27.89,22.47,8.51,6.86,37.2,29.97,12.85,10.35,1.68,1.35,7.79,6.28,2.89,2.33,3646.0,38.08,30.68,3923.0,40.97,33.01,5537.0,57.84,46.6,80.55882848005386,58.809999999999995
25192.0,18856.0,3415.0,2921.0,5,25, Sant Gervasi - la Bonanova,74.85,13.56,11.59,15.333842216335144,4.0,25378.0,191.8,4.0,21204.0,477.0,1681.0,2496.0,6218.0,10320.0,12.0,48.67,7.93,606.0,280.0,105.0,221.0,2.86,1.04,18382.0,15888.0,5262.0,1764.0,4517.0,2014.0,606.0,397.0,1109.0,88.0,99.0,32.0,28.43,24.57,11.1,9.6,33.12,28.63,12.68,10.96,2.5,2.16,6.98,6.03,3.81,3.3,6678.0,42.03,36.33,7284.0,45.84,39.629999999999995,8385.0,52.779999999999994,45.62,86.43237950168643,56.14
43724.0,33279.0,5458.0,4986.0,5,26, Sant Gervasi - Galvany,76.11,12.48,11.4,14.089888220564315,5.0,46648.0,192.1,4.0,39523.0,828.0,2837.0,4439.0,11418.0,19991.0,10.0,50.58000000000001,7.1800000000000015,1154.0,549.0,177.0,428.0,2.92,1.08,34116.0,29653.0,9820.0,3177.0,8321.0,3778.0,1221.0,807.0,2134.0,164.0,174.0,57.0,28.06,24.39,10.71,9.31,33.12,28.78,12.74,11.07,2.72,2.37,7.2,6.26,4.12,3.58,12305.0,41.489999999999995,36.07,13526.0,45.60999999999999,39.65,15732.0,53.06,46.11,86.91816156642045,58.599999999999994
30327.0,22363.0,3659.0,4305.0,5,27, el Putxet i el Farró,73.74,12.07,14.2,14.061179002382598,5.0,29041.0,140.2,3.0,24752.0,577.0,1902.0,3260.0,7101.0,11906.0,6.0,48.1,7.68,1057.0,512.0,161.0,384.0,4.2700000000000005,1.55,21112.0,18216.0,4020.0,3187.0,5636.0,2120.0,1325.0,872.0,801.0,118.0,97.0,40.0,30.94,26.7,17.5,15.1,22.07,19.04,11.64,10.04,4.79,4.13,4.4,3.79,7.27,6.28,9695.0,53.23,45.93,11020.0,60.5,52.21,6941.0,38.11,32.87,86.28268283440697,56.38999999999999
16605.0,11111.0,2676.0,2818.0,6,28, Vallcarca i els Penitents,66.91,16.12,16.97,19.409588743018784,3.0,15454.0,101.6,3.0,13271.0,451.0,1761.0,2347.0,3588.0,5123.0,1.0,38.6,13.27,685.0,342.0,94.0,249.0,5.16,1.88,11399.0,9624.0,1955.0,2018.0,2498.0,1165.0,826.0,590.0,408.0,97.0,47.0,20.0,25.96,21.91,20.97,17.7,20.31,17.15,12.11,10.22,6.13,5.18,4.24,3.58,8.58,7.25,5106.0,53.06,44.79,5932.0,61.64,52.04,3528.0,36.66,30.949999999999996,84.42845863672251,44.940000000000005
7697.0,4718.0,1465.0,1514.0,6,29, el Coll,61.3,19.03,19.67,23.69399967653243,2.0,7307.0,81.6,2.0,6274.0,259.0,1153.0,1358.0,1684.0,1816.0,4.0,28.94,18.38,288.0,146.0,39.0,103.0,4.590000000000002,1.64,5366.0,4366.0,985.0,1081.0,804.0,564.0,437.0,280.0,155.0,38.0,12.0,10.0,18.42,14.98,24.76,20.15,22.56,18.36,12.92,10.51,6.41,5.22,3.55,2.89,10.01,8.14,2165.0,49.59,40.349999999999994,2602.0,59.6,48.489999999999995,1704.0,39.03,31.759999999999998,81.3641446142378,33.839999999999996
11909.0,8852.0,1903.0,1155.0,6,30, la Salut,74.33,15.98,9.7,17.69409576940957,3.0,13256.0,107.3,3.0,11523.0,363.0,1559.0,1940.0,3149.0,4506.0,6.0,39.1,13.53,554.0,275.0,78.0,201.0,4.81,1.7399999999999998,9705.0,8110.0,1456.0,1856.0,2230.0,908.0,660.0,563.0,320.0,68.0,31.0,18.0,27.5,22.98,22.89,19.12,17.95,15.0,11.2,9.36,6.94,5.8,3.95,3.3,8.14,6.8,4649.0,57.33,47.9,5309.0,65.47,54.699999999999996,2684.0,33.099999999999994,27.66,83.5651725914477,46.43
49557.0,33274.0,7276.0,9008.0,6,31, la Vila de Gràcia,67.14,14.68,18.18,17.94327990135635,5.0,50680.0,118.1,3.0,44473.0,1402.0,6356.0,6879.0,10704.0,19126.0,6.0,43.01,14.29,2185.0,1095.0,345.0,745.0,4.91,1.68,34194.0,28158.0,3660.0,7046.0,6972.0,3032.0,3137.0,3018.0,837.0,268.0,114.0,74.0,24.76,20.39,25.02,20.61,13.0,10.7,10.77,8.87,10.72,8.83,2.97,2.45,11.14,9.17,17036.0,60.5,49.83,20173.0,71.64,59.0,7529.0,26.740000000000002,22.019999999999996,82.34778031233549,55.93
34625.0,24452.0,5591.0,4582.0,6,32, el Camp d'en Grassot i Gràcia Nova,70.62,16.15,13.23,18.609992344306495,5.0,34146.0,103.7,3.0,29899.0,918.0,4110.0,5246.0,8131.0,11486.0,8.0,38.42,13.750000000000002,1433.0,693.0,203.0,537.0,4.79,1.7999999999999998,25500.0,21864.0,3467.0,5452.0,5822.0,2551.0,2019.0,1527.0,727.0,177.0,75.0,47.0,26.63,22.83,24.94,21.38,15.86,13.6,11.67,10.0,6.98,5.99,3.33,2.85,9.23,7.92,12801.0,58.55,50.199999999999996,14820.0,67.78,58.12,6745.0,30.86,26.45,85.74117647058823,45.04
27226.0,18141.0,4710.0,4374.0,7,33, el Baix Guinardó,66.63,17.3,16.07,20.6117894184062,4.0,25587.0,86.6,2.0,22504.0,1017.0,3910.0,4753.0,6219.0,6595.0,10.0,29.31,17.37,1107.0,528.0,156.0,423.0,4.92,1.88,19238.0,15745.0,3139.0,3890.0,3335.0,2114.0,1361.0,1027.0,629.0,134.0,63.0,53.0,21.18,17.34,24.71,20.22,19.94,16.32,13.43,10.99,6.52,5.34,3.99,3.27,8.64,7.07,8252.0,52.41,42.900000000000006,9613.0,61.05,49.970000000000006,5882.0,37.36,30.58,81.84322694666805,34.28
9023.0,5804.0,2195.0,1024.0,7,34, Can Baró,64.32,24.33,11.35,27.44093011626453,2.0,8887.0,77.4,2.0,7813.0,439.0,1709.0,1817.0,1955.0,1892.0,1.0,24.22,21.87,395.0,195.0,56.0,144.0,5.06,1.84,6671.0,5398.0,1143.0,1272.0,1083.0,792.0,497.0,318.0,202.0,54.0,20.0,17.0,20.06,16.23,23.56,19.07,21.17,17.13,14.67,11.87,5.89,4.77,3.74,3.03,9.21,7.45,2673.0,49.51,40.06999999999999,3170.0,58.72,47.519999999999996,2137.0,39.580000000000005,32.03,80.91740368760306,28.360000000000003
35825.0,23789.0,7418.0,4618.0,7,35, el Guinardó,66.4,20.71,12.89,23.770307943730568,5.0,35698.0,82.0,2.0,31350.0,1348.0,5826.0,6816.0,8756.0,8596.0,8.0,27.42,18.58,1800.0,806.0,263.0,731.0,5.74,2.33,26724.0,21756.0,4192.0,5406.0,4356.0,2688.0,2257.0,1544.0,970.0,213.0,74.0,56.0,20.02,16.3,24.85,20.23,19.27,15.69,12.36,10.06,7.1,5.78,4.46,3.63,10.37,8.45,11306.0,51.970000000000006,42.31,13563.0,62.34,50.760000000000005,7850.0,36.09,29.380000000000003,81.40996856757971,32.17
